date,2000,2001,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Updates,0,0,0,0,0,0,0,0,1,3,26,2,1,0,5,1,2,29,11,16,28,85,125
Neuerscheinungen,13,2,5,8,9,8,10,5,26,7,16,28,17,19,18,25,32,31,32,17,33,53,193
